Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,BRICK_POINT,BRICK_EQUIP_LIST,BRICK_LOCATION_LIST,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Schema Label,BACnet Type Str,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments
506_0_3002899,506,0,3002899,,,,EBU3B.RM-3154..DMPR-POS,NAE 06 N2 2 VMA103 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-3154,VAV,3154,,EBU3B,
505_0_3000912,505,0,3000912,,,,EBU3B.RM-B225..DMPR-POS,NAE 05 N2 1 VMA 103 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-B225,VAV,B225,,EBU3B,
505_0_3001645,505,0,3001645,,,,EBU3B.RM-1117..ZN-T,NAE 05 N2 2 VMA 104 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1117,VAV,1117,,EBU3B,
506_0_3001234,506,0,3001234,,,,EBU3B.RM-2200A..ZN-T,NAE 06 N2 1 VMA104 ZN T,Zone Temperature \ 2nd Flr Lobby,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2200A,VAV,2200A,,EBU3B,
506_0_3002916,506,0,3002916,,,,EBU3B.RM-3138..ZN-T,NAE 06 N2 2 VMA104 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-3138,VAV,3138,,EBU3B,
505_0_3000927,505,0,3000927,,,,EBU3B.RM-B230A..ZN-T,NAE 05 N2 1 VMA 104 ZN T,Zone Temperature / Elec room,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-B230A,VAV,B230A,,EBU3B,
505_0_3001651,505,0,3001651,,,,EBU3B.RM-1117..SUP-FLOW,NAE 05 N2 2 VMA 104 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1117,VAV,1117,,EBU3B,
506_0_3001240,506,0,3001240,,,,EBU3B.RM-2200A..SUP-FLOW,NAE 06 N2 1 VMA104 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2200A,VAV,2200A,,EBU3B,
506_0_3002922,506,0,3002922,,,,EBU3B.RM-3138..SUP-FLOW,NAE 06 N2 2 VMA104 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-3138,VAV,3138,,EBU3B,
505_0_3000932,505,0,3000932,,,,EBU3B.RM-B230A..SUP-FLOW,NAE 05 N2 1 VMA 104 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-B230A,VAV,B230A,,EBU3B,
505_0_3001649,505,0,3001649,,,,EBU3B.RM-1117..ACTHTGSP,NAE 05 N2 2 VMA 104 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1117,VAV,1117,,EBU3B,
506_0_3001238,506,0,3001238,,,,EBU3B.RM-2200A..ACTHTGSP,NAE 06 N2 1 VMA104 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-2200A,VAV,2200A,,EBU3B,
506_0_3002920,506,0,3002920,,,,EBU3B.RM-3138..ACTHTGSP,NAE 06 N2 2 VMA104 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-3138,VAV,3138,,EBU3B,
505_0_3001648,505,0,3001648,,,,EBU3B.RM-1117..ACTCLGSP,NAE 05 N2 2 VMA 104 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1117,VAV,1117,,EBU3B,
506_0_3001237,506,0,3001237,,,,EBU3B.RM-2200A..ACTCLGSP,NAE 06 N2 1 VMA104 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-2200A,VAV,2200A,,EBU3B,
506_0_3002919,506,0,3002919,,,,EBU3B.RM-3138..ACTCLGSP,NAE 06 N2 2 VMA104 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-3138,VAV,3138,,EBU3B,
505_0_3000930,505,0,3000930,,,,EBU3B.RM-B230A..ACTCLGSP,NAE 05 N2 1 VMA 104 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-B230A,VAV,B230A,,EBU3B,
505_0_3001650,505,0,3001650,,,,EBU3B.RM-1117..DMPR-POS,NAE 05 N2 2 VMA 104 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1117,VAV,1117,,EBU3B,
506_0_3001239,506,0,3001239,,,,EBU3B.RM-2200A..DMPR-POS,NAE 06 N2 1 VMA104 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-2200A,VAV,2200A,,EBU3B,
506_0_3002921,506,0,3002921,,,,EBU3B.RM-3138..DMPR-POS,NAE 06 N2 2 VMA104 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-3138,VAV,3138,,EBU3B,
505_0_3000931,505,0,3000931,,,,EBU3B.RM-B230A..DMPR-POS,NAE 05 N2 1 VMA 104 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-B230A,VAV,B230A,,EBU3B,
505_0_3000325,505,0,3000325,,,,EBU3B.CHWP1.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND075  CHWP1 VFD 21 AI1 ACTUAL,AI 1 Actual,98,AI 1 Actual,Unknown,Analog Input,,RM-B102C,Chilled Water Pump,1,CHW-SYS -> Pump,EBU3B,
505_0_3000365,505,0,3000365,,,,EBU3B.CHWP2.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND22  CHWP2 VFD 22 AI1 ACTUAL,AI 1 Actual,98,AI 1 Actual,Unknown,Analog Input,,RM-B102C,Chilled Water Pump,2,CHW-SYS -> Pump,EBU3B,
505_0_3000326,505,0,3000326,,,,EBU3B.CHWP1.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND075  CHWP1 VFD 21 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,Unknown,Analog Input,,RM-B102C,Chilled Water Pump,1,CHW-SYS -> Pump,EBU3B,
505_0_3000366,505,0,3000366,,,,EBU3B.CHWP2.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND22  CHWP2 VFD 22 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,Unknown,Analog Input,,RM-B102C,Chilled Water Pump,2,CHW-SYS -> Pump,EBU3B,
505_0_3000321,505,0,3000321,,,,EBU3B.CHWP1.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND075  CHWP1 VFD 21 PID CTRL,PID Control,98,PID Control,Unknown,Analog Input,,RM-B102C,Chilled Water Pump,1,CHW-SYS -> Pump,EBU3B,
505_0_3000361,505,0,3000361,,,,EBU3B.CHWP2.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND22  CHWP2 VFD 22 PID CTRL,PID Control,98,PID Control,Unknown,Analog Input,,RM-B102C,Chilled Water Pump,2,CHW-SYS -> Pump,EBU3B,
505_0_3015259,505,0,3015259,,,,EBU3B.CRAC-1.STAGES,NAE 05 N2 2 VND 162 STAGES,Stages,95,Stages,Unknown,Analog Input,,Server Room,Computer Room Air Conditioning,1,,EBU3B,
505_0_3015323,505,0,3015323,,,,EBU3B.CRAC-2.STAGES,NAE 05 N2 2 VND 163 STAGES,Stages,95,Stages,Unknown,Analog Input,,Server Room,Computer Room Air Conditioning,2,,EBU3B,
505_0_3015195,505,0,3015195,,,,EBU3B.CRAC-3.STAGES,NAE 05 N2 2 VND 161 STAGES,Stages,95,Stages,Unknown,Analog Input,,Server Room,Computer Room Air Conditioning,3,,EBU3B,
505_0_3015131,505,0,3015131,,,,EBU3B.CRAC-4.STAGES,NAE 05 N2 2 VND 160 STAGES,Stages,95,Stages,Unknown,Analog Input,,Server Room,Computer Room Air Conditioning,4,,EBU3B,
505_0_3000405,505,0,3000405,,,,EBU3B.HWP1.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND23  HWP1 VFD 23 AI1 ACTUAL,AI 1 Actual,98,AI 1 Actual,Unknown,Analog Input,,RM-B102C,Hot Water Pump,1,HW-SYS -> Pump,EBU3B,
505_0_3000445,505,0,3000445,,,,EBU3B.HWP2.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND24  HWP2 VFD 1 AI1 ACTUAL,AI 1 Actual,98,AI 1 Actual,Unknown,Analog Input,,RM-B102C,Hot Water Pump,2,HW-SYS -> Pump,EBU3B,
505_0_3000406,505,0,3000406,,,,EBU3B.HWP1.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND23  HWP1 VFD 23 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,Unknown,Analog Input,,RM-B102C,Hot Water Pump,1,HW-SYS -> Pump,EBU3B,
505_0_3000446,505,0,3000446,,,,EBU3B.HWP2.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND24  HWP2 VFD 1 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,Unknown,Analog Input,,RM-B102C,Hot Water Pump,2,HW-SYS -> Pump,EBU3B,
505_0_3000401,505,0,3000401,,,,EBU3B.HWP1.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND23  HWP1 VFD 23 PID CTRL,PID Control,98,PID Control,Unknown,Analog Input,,RM-B102C,Hot Water Pump,1,HW-SYS -> Pump,EBU3B,
505_0_3000441,505,0,3000441,,,,EBU3B.HWP2.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND24  HWP2 VFD 1 PID CTRL,PID Control,98,PID Control,Unknown,Analog Input,,RM-B102C,Hot Water Pump,2,HW-SYS -> Pump,EBU3B,
505_0_3000645,505,0,3000645,,,,EBU3B.RF1.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND45  RF 1 VFD 45 AI1 ACTUAL,AI 1 Actual,98,AI 1 Actual,Unknown,Analog Input,,RM-B102C,Return Fan,1,AHU -> Return Fan,EBU3B,
505_0_3000685,505,0,3000685,,,,EBU3B.RF2.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND46  RF 2 VFD 46 AI1 ACTUAL,AI 1 Actual,98,AI 1 Actual,Unknown,Analog Input,,RM-B102C,Return Fan,2,AHU -> Return Fan,EBU3B,
505_0_3000725,505,0,3000725,,,,EBU3B.RF3.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND47  RF 3 VFD 47 AI1 ACTUAL,AI 1 Actual,98,AI 1 Actual,Unknown,Analog Input,,RM-B102C,Return Fan,3,AHU -> Return Fan,EBU3B,
505_0_3000765,505,0,3000765,,,,EBU3B.RF4.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND48  RF 4 VFD 48 AI1 ACTUAL,AI 1 Actual,98,AI 1 Actual,Unknown,Analog Input,,RM-B102C,Return Fan,4,AHU -> Return Fan,EBU3B,
505_0_3000646,505,0,3000646,,,,EBU3B.RF1.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND45  RF 1 VFD 45 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,Unknown,Analog Input,,RM-B102C,Return Fan,1,AHU -> Return Fan,EBU3B,
505_0_3000686,505,0,3000686,,,,EBU3B.RF2.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND46  RF 2 VFD 46 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,Unknown,Analog Input,,RM-B102C,Return Fan,2,AHU -> Return Fan,EBU3B,
505_0_3000726,505,0,3000726,,,,EBU3B.RF3.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND47  RF 3 VFD 47 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,Unknown,Analog Input,,RM-B102C,Return Fan,3,AHU -> Return Fan,EBU3B,
505_0_3000766,505,0,3000766,,,,EBU3B.RF4.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND48  RF 4 VFD 48 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,Unknown,Analog Input,,RM-B102C,Return Fan,4,AHU -> Return Fan,EBU3B,
505_0_3000641,505,0,3000641,,,,EBU3B.RF1.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND45  RF 1 VFD 45 PID CTRL,PID Control,98,PID Control,Unknown,Analog Input,,RM-B102C,Return Fan,1,AHU -> Return Fan,EBU3B,
505_0_3000681,505,0,3000681,,,,EBU3B.RF2.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND46  RF 2 VFD 46 PID CTRL,PID Control,98,PID Control,Unknown,Analog Input,,RM-B102C,Return Fan,2,AHU -> Return Fan,EBU3B,
505_0_3000721,505,0,3000721,,,,EBU3B.RF3.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND47  RF 3 VFD 47 PID CTRL,PID Control,98,PID Control,Unknown,Analog Input,,RM-B102C,Return Fan,3,AHU -> Return Fan,EBU3B,
505_0_3000761,505,0,3000761,,,,EBU3B.RF4.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND48  RF 4 VFD 48 PID CTRL,PID Control,98,PID Control,Unknown,Analog Input,,RM-B102C,Return Fan,4,AHU -> Return Fan,EBU3B,
505_0_3000485,505,0,3000485,,,,EBU3B.SF1.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND41  SF 1 VFD 41 AI1 ACTUAL,AI 1 Actual,98,AI 1 Actual,Unknown,Analog Input,,RM-B102C,Supply Fan,1,AHU -> Supply Fan,EBU3B,
505_0_3000525,505,0,3000525,,,,EBU3B.SF2.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND42  SF 2 VFD 42 AI1 ACTUAL,AI 1 Actual,98,AI 1 Actual,Unknown,Analog Input,,RM-B102C,Supply Fan,2,AHU -> Supply Fan,EBU3B,
