Unique Identifier,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,BACnet Type Str,Ground Truth Point Type,Schema Label,Location,Equipment Type,Equipment Ref,Equipment Subsystems
513_0_3004720,ap m rm b301w aclg stpt,nae 13 n2 trunk 1 vav 2 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b301w,vav,,
513_0_3004722,ap m rm b301w ahtg stpt,nae 13 n2 trunk 1 vav 2 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b301w,vav,,
513_0_3004736,ap m rm b301w sup flow,nae 13 n2 trunk 1 vav 2 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b301w,vav,,
513_0_3004740,ap m rm b301w wc adj,nae 13 n2 trunk 1 vav 2 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b301w,vav,,
513_0_3004741,ap m rm b301w zn t,nae 13 n2 trunk 1 vav 2 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b301w,vav,,
513_0_3004743,ap m rm b325 aclg stpt,nae 13 n2 trunk 1 vav 3 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b325,vav,,
513_0_3004745,ap m rm b325 ahtg stpt,nae 13 n2 trunk 1 vav 3 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b325,vav,,
513_0_3004759,ap m rm b325 sup flow,nae 13 n2 trunk 1 vav 3 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b325,vav,,
513_0_3004763,ap m rm b325 wc adj,nae 13 n2 trunk 1 vav 3 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b325,vav,,
513_0_3004764,ap m rm b325 zn t,nae 13 n2 trunk 1 vav 3 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b325,vav,,
513_0_3004766,ap m rm b337 aclg stpt,nae 13 n2 trunk 1 vav 4 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b337,vav,,
513_0_3004768,ap m rm b337 ahtg stpt,nae 13 n2 trunk 1 vav 4 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b337,vav,,
513_0_3004782,ap m rm b337 sup flow,nae 13 n2 trunk 1 vav 4 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b337,vav,,
513_0_3004786,ap m rm b337 wc adj,nae 13 n2 trunk 1 vav 4 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b337,vav,,
513_0_3004787,ap m rm b337 zn t,nae 13 n2 trunk 1 vav 4 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b337,vav,,
513_0_3004789,ap m rm b349 aclg stpt,nae 13 n2 trunk 1 vav 5 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b349,vav,,
513_0_3004791,ap m rm b349 ahtg stpt,nae 13 n2 trunk 1 vav 5 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b349,vav,,
513_0_3004805,ap m rm b349 sup flow,nae 13 n2 trunk 1 vav 5 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b349,vav,,
513_0_3004809,ap m rm b349 wc adj,nae 13 n2 trunk 1 vav 5 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b349,vav,,
513_0_3004810,ap m rm b349 zn t,nae 13 n2 trunk 1 vav 5 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b349,vav,,
513_0_3004812,ap m bsmtw hall aclg stpt,nae 13 n2 trunk 1 vav 6 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,bsmtw hall,vav,,
513_0_3004814,ap m bsmtw hall ahtg stpt,nae 13 n2 trunk 1 vav 6 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,bsmtw hall,vav,,
513_0_3004828,ap m bsmtw hall sup flow,nae 13 n2 trunk 1 vav 6 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,bsmtw hall,vav,,
513_0_3004832,ap m bsmtw hall wc adj,nae 13 n2 trunk 1 vav 6 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,bsmtw hall,vav,,
513_0_3004833,ap m bsmtw hall zn t,nae 13 n2 trunk 1 vav 6 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,bsmtw hall,vav,,
513_0_3004835,ap m bsmt lobby aclg stpt,nae 13 n2 trunk 1 vav 8 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,bsmt lobby,vav,,
513_0_3004837,ap m bsmt lobby ahtg stpt,nae 13 n2 trunk 1 vav 8 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,bsmt lobby,vav,,
513_0_3004851,ap m bsmt lobby sup flow,nae 13 n2 trunk 1 vav 8 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,bsmt lobby,vav,,
513_0_3004855,ap m bsmt lobby wc adj,nae 13 n2 trunk 1 vav 8 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,bsmt lobby,vav,,
513_0_3004856,ap m bsmt lobby zn t,nae 13 n2 trunk 1 vav 8 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,bsmt lobby,vav,,
513_0_3004858,ap m rm b004 aclg stpt,nae 13 n2 trunk 1 vav 9 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b004,vav,,
513_0_3004860,ap m rm b004 ahtg stpt,nae 13 n2 trunk 1 vav 9 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b004,vav,,
513_0_3004874,ap m rm b004 sup flow,nae 13 n2 trunk 1 vav 9 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b004,vav,,
513_0_3004878,ap m rm b004 wc adj,nae 13 n2 trunk 1 vav 9 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b004,vav,,
513_0_3004879,ap m rm b004 zn t,nae 13 n2 trunk 1 vav 9 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b004,vav,,
513_0_3004881,ap m rm b432 aclg stpt,nae 13 n2 trunk 1 vav 10 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b432,vav,,
513_0_3004883,ap m rm b432 ahtg stpt,nae 13 n2 trunk 1 vav 10 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b432,vav,,
513_0_3004897,ap m rm b432 sup flow,nae 13 n2 trunk 1 vav 10 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b432,vav,,
513_0_3004901,ap m rm b432 wc adj,nae 13 n2 trunk 1 vav 10 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b432,vav,,
513_0_3004902,ap m rm b432 zn t,nae 13 n2 trunk 1 vav 10 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b432,vav,,
513_0_3004904,ap m rm 1101 aclg stpt,nae 13 n2 trunk 1 vav 12 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1101,vav,,
513_0_3004906,ap m rm 1101 ahtg stpt,nae 13 n2 trunk 1 vav 12 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1101,vav,,
513_0_3004920,ap m rm 1101 sup flow,nae 13 n2 trunk 1 vav 12 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1101,vav,,
513_0_3004924,ap m rm 1101 wc adj,nae 13 n2 trunk 1 vav 12 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1101,vav,,
513_0_3004925,ap m rm 1101 zn t,nae 13 n2 trunk 1 vav 12 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1101,vav,,
513_0_3004927,ap m rm 1141 aclg stpt,nae 13 n2 trunk 1 vav 13 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1141,vav,,
513_0_3004929,ap m rm 1141 ahtg stpt,nae 13 n2 trunk 1 vav 13 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1141,vav,,
513_0_3004943,ap m rm 1141 sup flow,nae 13 n2 trunk 1 vav 13 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1141,vav,,
513_0_3004947,ap m rm 1141 wc adj,nae 13 n2 trunk 1 vav 13 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1141,vav,,
513_0_3004948,ap m rm 1141 zn t,nae 13 n2 trunk 1 vav 13 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1141,vav,,
513_0_3004950,ap m rm 1157 aclg stpt,nae 13 n2 trunk 1 vav 14 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1157,vav,,
513_0_3004952,ap m rm 1157 ahtg stpt,nae 13 n2 trunk 1 vav 14 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1157,vav,,
513_0_3004966,ap m rm 1157 sup flow,nae 13 n2 trunk 1 vav 14 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1157,vav,,
513_0_3004970,ap m rm 1157 wc adj,nae 13 n2 trunk 1 vav 14 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1157,vav,,
513_0_3004971,ap m rm 1157 zn t,nae 13 n2 trunk 1 vav 14 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1157,vav,,
513_0_3004973,ap m 1fle hall aclg stpt,nae 13 n2 trunk 1 vav 15 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,1fle hall,vav,,
513_0_3004975,ap m 1fle hall ahtg stpt,nae 13 n2 trunk 1 vav 15 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,1fle hall,vav,,
513_0_3004989,ap m 1fle hall sup flow,nae 13 n2 trunk 1 vav 15 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,1fle hall,vav,,
513_0_3004993,ap m 1fle hall wc adj,nae 13 n2 trunk 1 vav 15 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,1fle hall,vav,,
513_0_3004994,ap m 1fle hall zn t,nae 13 n2 trunk 1 vav 15 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,1fle hall,vav,,
513_0_3004996,ap m rm 1202 aclg stpt,nae 13 n2 trunk 1 vav 16 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1202,vav,,
513_0_3004998,ap m rm 1202 ahtg stpt,nae 13 n2 trunk 1 vav 16 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1202,vav,,
513_0_3005012,ap m rm 1202 sup flow,nae 13 n2 trunk 1 vav 16 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1202,vav,,
513_0_3005016,ap m rm 1202 wc adj,nae 13 n2 trunk 1 vav 16 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1202,vav,,
513_0_3005017,ap m rm 1202 zn t,nae 13 n2 trunk 1 vav 16 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1202,vav,,
513_0_3005019,ap m rm 1218 aclg stpt,nae 13 n2 trunk 1 vav 17 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1218,vav,,
513_0_3005021,ap m rm 1218 ahtg stpt,nae 13 n2 trunk 1 vav 17 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1218,vav,,
513_0_3005035,ap m rm 1218 sup flow,nae 13 n2 trunk 1 vav 17 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1218,vav,,
513_0_3005039,ap m rm 1218 wc adj,nae 13 n2 trunk 1 vav 17 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1218,vav,,
513_0_3005040,ap m rm 1218 zn t,nae 13 n2 trunk 1 vav 17 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1218,vav,,
513_0_3005042,ap m rm 1240 aclg stpt,nae 13 n2 trunk 1 vav 18 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1240,vav,,
513_0_3005044,ap m rm 1240 ahtg stpt,nae 13 n2 trunk 1 vav 18 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1240,vav,,
513_0_3005058,ap m rm 1240 sup flow,nae 13 n2 trunk 1 vav 18 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1240,vav,,
513_0_3005062,ap m rm 1240 wc adj,nae 13 n2 trunk 1 vav 18 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1240,vav,,
513_0_3005063,ap m rm 1240 zn t,nae 13 n2 trunk 1 vav 18 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1240,vav,,
513_0_3005065,ap m rm 1260 aclg stpt,nae 13 n2 trunk 1 vav 19 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1260,vav,,
513_0_3005067,ap m rm 1260 ahtg stpt,nae 13 n2 trunk 1 vav 19 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1260,vav,,
513_0_3005081,ap m rm 1260 sup flow,nae 13 n2 trunk 1 vav 19 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1260,vav,,
513_0_3005085,ap m rm 1260 wc adj,nae 13 n2 trunk 1 vav 19 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1260,vav,,
513_0_3005086,ap m rm 1260 zn t,nae 13 n2 trunk 1 vav 19 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1260,vav,,
513_0_3005088,ap m rm 1311 aclg stpt,nae 13 n2 trunk 1 vav 20 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1311,vav,,
513_0_3005090,ap m rm 1311 ahtg stpt,nae 13 n2 trunk 1 vav 20 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1311,vav,,
513_0_3005104,ap m rm 1311 sup flow,nae 13 n2 trunk 1 vav 20 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1311,vav,,
513_0_3005108,ap m rm 1311 wc adj,nae 13 n2 trunk 1 vav 20 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1311,vav,,
513_0_3005109,ap m rm 1311 zn t,nae 13 n2 trunk 1 vav 20 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1311,vav,,
513_0_3005111,ap m rm 1313 aclg stpt,nae 13 n2 trunk 1 vav 21 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1313,vav,,
513_0_3005113,ap m rm 1313 ahtg stpt,nae 13 n2 trunk 1 vav 21 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1313,vav,,
513_0_3005127,ap m rm 1313 sup flow,nae 13 n2 trunk 1 vav 21 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1313,vav,,
513_0_3005131,ap m rm 1313 wc adj,nae 13 n2 trunk 1 vav 21 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1313,vav,,
513_0_3005132,ap m rm 1313 zn t,nae 13 n2 trunk 1 vav 21 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1313,vav,,
513_0_3005134,ap m rm 1408 aclg stpt,nae 13 n2 trunk 1 vav 23 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1408,vav,,
513_0_3005136,ap m rm 1408 ahtg stpt,nae 13 n2 trunk 1 vav 23 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1408,vav,,
513_0_3005150,ap m rm 1408 sup flow,nae 13 n2 trunk 1 vav 23 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1408,vav,,
513_0_3005154,ap m rm 1408 wc adj,nae 13 n2 trunk 1 vav 23 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1408,vav,,
513_0_3005155,ap m rm 1408 zn t,nae 13 n2 trunk 1 vav 23 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1408,vav,,
513_0_3005157,ap m rm 1412 aclg stpt,nae 13 n2 trunk 1 vav 24 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 1412,vav,,
513_0_3005159,ap m rm 1412 ahtg stpt,nae 13 n2 trunk 1 vav 24 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 1412,vav,,
513_0_3005173,ap m rm 1412 sup flow,nae 13 n2 trunk 1 vav 24 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 1412,vav,,
513_0_3005177,ap m rm 1412 wc adj,nae 13 n2 trunk 1 vav 24 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 1412,vav,,
513_0_3005178,ap m rm 1412 zn t,nae 13 n2 trunk 1 vav 24 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 1412,vav,,
513_0_3005180,ap m rm b301b aclg stpt,nae 13 n2 trunk 1 vav 25 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b301b,vav,,
513_0_3005182,ap m rm b301b ahtg stpt,nae 13 n2 trunk 1 vav 25 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b301b,vav,,
513_0_3005196,ap m rm b301b sup flow,nae 13 n2 trunk 1 vav 25 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b301b,vav,,
513_0_3005200,ap m rm b301b wc adj,nae 13 n2 trunk 1 vav 25 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b301b,vav,,
513_0_3005201,ap m rm b301b zn t,nae 13 n2 trunk 1 vav 25 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b301b,vav,,
513_0_3005203,ap m rm b325b aclg stpt,nae 13 n2 trunk 1 vav 26 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b325b,vav,,
513_0_3005205,ap m rm b325b ahtg stpt,nae 13 n2 trunk 1 vav 26 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b325b,vav,,
513_0_3005219,ap m rm b325b sup flow,nae 13 n2 trunk 1 vav 26 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b325b,vav,,
513_0_3005223,ap m rm b325b wc adj,nae 13 n2 trunk 1 vav 26 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b325b,vav,,
513_0_3005224,ap m rm b325b zn t,nae 13 n2 trunk 1 vav 26 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b325b,vav,,
513_0_3005226,ap m rm b301wb aclg stpt,nae 13 n2 trunk 1 vav 30 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b301wb,vav,,
513_0_3005228,ap m rm b301wb ahtg stpt,nae 13 n2 trunk 1 vav 30 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b301wb,vav,,
513_0_3005242,ap m rm b301wb sup flow,nae 13 n2 trunk 1 vav 30 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b301wb,vav,,
513_0_3005246,ap m rm b301wb wc adj,nae 13 n2 trunk 1 vav 30 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b301wb,vav,,
513_0_3005247,ap m rm b301wb zn t,nae 13 n2 trunk 1 vav 30 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b301wb,vav,,
513_0_3005249,ap m rm b337b aclg stpt,nae 13 n2 trunk 1 vav 31 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b337b,vav,,
513_0_3005251,ap m rm b337b ahtg stpt,nae 13 n2 trunk 1 vav 31 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b337b,vav,,
513_0_3005265,ap m rm b337b sup flow,nae 13 n2 trunk 1 vav 31 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b337b,vav,,
513_0_3005269,ap m rm b337b wc adj,nae 13 n2 trunk 1 vav 31 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b337b,vav,,
513_0_3005270,ap m rm b337b zn t,nae 13 n2 trunk 1 vav 31 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b337b,vav,,
513_0_3005272,ap m rm b349b aclg stpt,nae 13 n2 trunk 1 vav 32 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b349b,vav,,
513_0_3005274,ap m rm b349b ahtg stpt,nae 13 n2 trunk 1 vav 32 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b349b,vav,,
513_0_3005288,ap m rm b349b sup flow,nae 13 n2 trunk 1 vav 32 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b349b,vav,,
513_0_3005292,ap m rm b349b wc adj,nae 13 n2 trunk 1 vav 32 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b349b,vav,,
513_0_3005293,ap m rm b349b zn t,nae 13 n2 trunk 1 vav 32 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b349b,vav,,
513_0_3005295,ap m rm b432b aclg stpt,nae 13 n2 trunk 1 vav 33 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b432b,vav,,
