Unique Identifier,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,BACnet Type Str,Ground Truth Point Type,Schema Label,Location,Equipment Type,Equipment Ref,Equipment Subsystems
510_0_3013054,biolib 1stfl rm 109 aclg sp,nae 10 n2 1 vma113 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 109,
510_0_3013038,biolib 1stfl rm 110 aclg sp,nae 10 n2 1 vma112 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 110,
510_0_3012874,biolib 1stfl rm 111 aclg sp,nae 10 n2 1 vma103 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 111,
510_0_3012954,biolib 1stfl rm 114 aclg sp,nae 10 n2 1 vma107 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 114,
510_0_3012986,biolib 1stfl rm 115 aclg sp,nae 10 n2 1 vma109 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 115,
510_0_3013314,biolib 1stfl rm 116 aclg sp,nae 10 n2 1 vma128 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 116,
510_0_3013330,biolib 1stfl rm 117 aclg sp,nae 10 n2 1 vma129 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 117,
510_0_3014385,biolib 1stfl rm 117b aclg sp,nae 10 n2 2 vma143 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 117b,
510_0_3013350,biolib 1stfl rm 118 aclg sp,nae 10 n2 1 vma130 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 118,
510_0_3014191,biolib 1stfl rm 119 aclg sp,nae 10 n2 2 vma133 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 119,
510_0_3014348,biolib 1stfl rm 121 aclg sp,nae 10 n2 2 vma141 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 121,
510_0_3014365,biolib 1stfl rm 123 aclg sp,nae 10 n2 2 vma142 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 123,
510_0_3014271,biolib 1stfl rm 125 aclg sp,nae 10 n2 2 vma137 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 125,
510_0_3014308,biolib 1stfl rm 128 aclg sp,nae 10 n2 2 vma139 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 128,
510_0_3014505,biolib 1stfl rm 131 aclg sp,nae 10 n2 2 vma150 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 131,
510_0_3014171,biolib 1stfl rm 133 aclg sp,nae 10 n2 2 vma132 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 133,
510_0_3014525,biolib 1stfl rm 134 aclg sp,nae 10 n2 2 vma151 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 134,
510_0_3014111,biolib 1stfl rm 135 aclg sp,nae 10 n2 2 vma129 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 135,
510_0_3014051,biolib 1stfl rm 137 aclg sp,nae 10 n2 2 vma126 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 137,
510_0_3014071,biolib 1stfl rm 138a aclg sp,nae 10 n2 2 vma127 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 138a,
510_0_3014091,biolib 1stfl rm 138b aclg sp,nae 10 n2 2 vma128 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 138b,
510_0_3014151,biolib 1stfl rm 138c aclg sp,nae 10 n2 2 vma131 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 138c,
510_0_3014131,biolib 1stfl rm 138d aclg sp,nae 10 n2 2 vma130 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 138d,
510_0_3014328,biolib 1stfl rm 138e aclg sp,nae 10 n2 2 vma140 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 138e,
510_0_3014288,biolib 1stfl rm 138f aclg sp,nae 10 n2 2 vma138 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 138f,
510_0_3014251,biolib 1stfl rm 138g aclg sp,nae 10 n2 2 vma136 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 138g,
510_0_3014211,biolib 1stfl rm 138j aclg sp,nae 10 n2 2 vma134 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 138j,
510_0_3014641,biolib 1stfl rm 139 aclg sp,nae 10 n2 2 vma157 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 139,
510_0_3014661,biolib 1stfl rm 140 aclg sp,nae 10 n2 2 vma158 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 140,
510_0_3013222,biolib 1stfl rm 141 aclg sp,nae 10 n2 1 vma123 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 141,
510_0_3014405,biolib 1stfl rm 141a aclg sp,nae 10 n2 2 vma144 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 141a,
510_0_3014445,biolib 1stfl rm 141c aclg sp,nae 10 n2 2 vma147 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 141c,
510_0_3014425,biolib 1stfl rm 141d aclg sp,nae 10 n2 2 vma146 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 141d,
510_0_3014465,biolib 1stfl rm 141e aclg sp,nae 10 n2 2 vma148 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 141e,
510_0_3014485,biolib 1stfl rm 141f aclg sp,nae 10 n2 2 vma149 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 141f,
510_0_3014545,biolib 1stfl rm 142a aclg sp,nae 10 n2 2 vma152 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 142a,
510_0_3014565,biolib 1stfl rm 142b aclg sp,nae 10 n2 2 vma153 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 142b,
510_0_3014605,biolib 1stfl rm 142c aclg sp,nae 10 n2 2 vma155 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 142c,
510_0_3013367,biolib 1stfl rm 72 2n aclg sp,nae 10 n2 1 vma131 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 72 2n,
510_0_3013385,biolib 1stfl rm 73 26 aclg sp,nae 10 n2 1 vma132 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 73 26,
510_0_3013242,biolib 2ndfl rm 200e aclg sp,nae 10 n2 1 vma124 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 200e,
510_0_3012834,biolib 2ndfl rm 201 aclg sp,nae 10 n2 1 vma101 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 201,
510_0_3012854,biolib 2ndfl rm 203 aclg sp,nae 10 n2 1 vma102 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 203,
510_0_3012894,biolib 2ndfl rm 204 aclg sp,nae 10 n2 1 vma104 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 204,
510_0_3012914,biolib 2ndfl rm 205 aclg sp,nae 10 n2 1 vma105 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 205,
510_0_3012934,biolib 2ndfl rm 206 aclg sp,nae 10 n2 1 vma106 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 206,
510_0_3013002,biolib 2ndfl rm 207 aclg sp,nae 10 n2 1 vma110 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 207,
510_0_3013572,biolib 2ndfl rm 208 aclg sp,nae 10 n2 2 vma101 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 208,
510_0_3013706,biolib 2ndfl rm 210 aclg sp,nae 10 n2 2 vma108 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 210,
510_0_3013593,biolib 2ndfl rm 212 aclg sp,nae 10 n2 2 vma102 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 212,
510_0_3013609,biolib 2ndfl rm 214 aclg sp,nae 10 n2 2 vma103 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 214,
510_0_3013689,biolib 2ndfl rm 216 aclg sp,nae 10 n2 2 vma107 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 216,
510_0_3013726,biolib 2ndfl rm 217 aclg sp,nae 10 n2 2 vma109 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 217,
510_0_3013669,biolib 2ndfl rm 218 aclg sp,nae 10 n2 2 vma106 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 218,
510_0_3013766,biolib 2ndfl rm 220 aclg sp,nae 10 n2 2 vma111 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 220,
510_0_3013979,biolib 2ndfl rm 221a aclg sp,nae 10 n2 2 vma122 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 221a,
510_0_3013999,biolib 2ndfl rm 221b aclg sp,nae 10 n2 2 vma123 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 221b,
510_0_3013746,biolib 2ndfl rm 221c aclg sp,nae 10 n2 2 vma110 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 221c,
510_0_3013649,biolib 2ndfl rm 223 aclg sp,nae 10 n2 2 vma105 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 223,
510_0_3013629,biolib 2ndfl rm 224 aclg sp,nae 10 n2 2 vma104 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 224,
510_0_3013785,biolib 2ndfl rm 225 aclg sp,nae 10 n2 2 vma112 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 225,
510_0_3013825,biolib 2ndfl rm 226 aclg sp,nae 10 n2 2 vma114 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 226,
510_0_3013845,biolib 2ndfl rm 227 aclg sp,nae 10 n2 2 vma115 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 227,
510_0_3013886,biolib 2ndfl rm 228 aclg sp,nae 10 n2 2 vma117 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 228,
510_0_3013906,biolib 2ndfl rm 229 aclg sp,nae 10 n2 2 vma118 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 229,
510_0_3013927,biolib 2ndfl rm 230 aclg sp,nae 10 n2 2 vma119 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 230,
510_0_3013805,biolib 2ndfl rm 231a aclg sp,nae 10 n2 2 vma113 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 231a,
510_0_3013866,biolib 2ndfl rm 231b aclg sp,nae 10 n2 2 vma116 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 231b,
510_0_3014585,biolib 2ndfl rm 232a aclg sp,nae 10 n2 2 vma154 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 232a,
510_0_3014625,biolib 2ndfl rm 232b aclg sp,nae 10 n2 2 vma156 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 232b,
510_0_3013947,biolib 2ndfl rm 232c aclg sp,nae 10 n2 2 vma120 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 232c,
510_0_3013963,biolib 2ndfl rm 232d aclg sp,nae 10 n2 2 vma121 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 232d,
510_0_3014035,biolib 2ndfl rm 233a aclg sp,nae 10 n2 2 vma125 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 233a,
510_0_3014019,biolib 2ndfl rm 233b aclg sp,nae 10 n2 2 vma124124 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 233b,
510_0_3014232,1biolib 1stfl rm 38h ahtg sp,nae 10 n2 2 vma135 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 38h,
510_0_3013299,biolib 1stfl rm 100 ahtg sp,nae 10 n2 1 vma127 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 100,
510_0_3013151,biolib 1stfl rm 100n ahtg sp,nae 10 n2 1 vma119 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 100n,
510_0_3013283,biolib 1stfl rm 100s ahtg sp,nae 10 n2 1 vma126 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 100s,
510_0_3013187,biolib 1stfl rm 101n ahtg sp,nae 10 n2 1 vma121 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 101n,
510_0_3013207,biolib 1stfl rm 101s ahtg sp,nae 10 n2 1 vma122 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 101s,
510_0_3013263,biolib 1stfl rm 102 ahtg sp,nae 10 n2 1 vma125 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 102,
510_0_3013167,biolib 1stfl rm 103 ahtg sp,nae 10 n2 1 vma120 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 103,
510_0_3013087,biolib 1stfl rm 104a ahtg sp,nae 10 n2 1 vma115 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 104a,
510_0_3012971,biolib 1stfl rm 104b ahtg sp,nae 10 n2 1 vma108 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 104b,
510_0_3013023,biolib 1stfl rm 104c ahtg sp,nae 10 n2 1 vma111 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 104c,
510_0_3013135,biolib 1stfl rm 105 ahtg sp,nae 10 n2 1 vma118 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 105,
510_0_3013119,biolib 1stfl rm 106 ahtg sp,nae 10 n2 1 vma117 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 106,
510_0_3013103,biolib 1stfl rm 107 ahtg sp,nae 10 n2 1 vma116 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 107,
510_0_3013071,biolib 1stfl rm 108 ahtg sp,nae 10 n2 1 vma114 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 108,
510_0_3013055,biolib 1stfl rm 109 ahtg sp,nae 10 n2 1 vma113 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 109,
510_0_3013039,biolib 1stfl rm 110 ahtg sp,nae 10 n2 1 vma112 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 110,
510_0_3012875,biolib 1stfl rm 111 ahtg sp,nae 10 n2 1 vma103 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 111,
510_0_3012955,biolib 1stfl rm 114 ahtg sp,nae 10 n2 1 vma107 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 114,
510_0_3012987,biolib 1stfl rm 115 ahtg sp,nae 10 n2 1 vma109 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 115,
510_0_3013315,biolib 1stfl rm 116 ahtg sp,nae 10 n2 1 vma128 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 116,
510_0_3013331,biolib 1stfl rm 117 ahtg sp,nae 10 n2 1 vma129 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 117,
510_0_3014386,biolib 1stfl rm 117b ahtg sp,nae 10 n2 2 vma143 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 117b,
510_0_3013351,biolib 1stfl rm 118 ahtg sp,nae 10 n2 1 vma130 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 118,
510_0_3014192,biolib 1stfl rm 119 ahtg sp,nae 10 n2 2 vma133 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 119,
510_0_3014366,biolib 1stfl rm 123 ahtg sp,nae 10 n2 2 vma142 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 123,
510_0_3014309,biolib 1stfl rm 128 ahtg sp,nae 10 n2 2 vma139 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 128,
510_0_3014506,biolib 1stfl rm 131 ahtg sp,nae 10 n2 2 vma150 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 131,
510_0_3014172,biolib 1stfl rm 133 ahtg sp,nae 10 n2 2 vma132 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 133,
510_0_3014526,biolib 1stfl rm 134 ahtg sp,nae 10 n2 2 vma151 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 134,
510_0_3014112,biolib 1stfl rm 135 ahtg sp,nae 10 n2 2 vma129 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 135,
510_0_3014052,biolib 1stfl rm 137 ahtg sp,nae 10 n2 2 vma126 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 137,
510_0_3014072,biolib 1stfl rm 138a ahtg sp,nae 10 n2 2 vma127 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 138a,
510_0_3014092,biolib 1stfl rm 138b ahtg sp,nae 10 n2 2 vma128 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 138b,
510_0_3014152,biolib 1stfl rm 138c ahtg sp,nae 10 n2 2 vma131 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 138c,
510_0_3014132,biolib 1stfl rm 138d ahtg sp,nae 10 n2 2 vma130 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 138d,
510_0_3014329,biolib 1stfl rm 138e ahtg sp,nae 10 n2 2 vma140 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 138e,
510_0_3014289,biolib 1stfl rm 138f ahtg sp,nae 10 n2 2 vma138 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 138f,
510_0_3014252,biolib 1stfl rm 138g ahtg sp,nae 10 n2 2 vma136 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 138g,
510_0_3014212,biolib 1stfl rm 138j ahtg sp,nae 10 n2 2 vma134 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 138j,
510_0_3014642,biolib 1stfl rm 139 ahtg sp,nae 10 n2 2 vma157 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 139,
510_0_3014662,biolib 1stfl rm 140 ahtg sp,nae 10 n2 2 vma158 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 140,
510_0_3013223,biolib 1stfl rm 141 ahtg sp,nae 10 n2 1 vma123 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 141,
510_0_3014406,biolib 1stfl rm 141a ahtg sp,nae 10 n2 2 vma144 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 141a,
510_0_3014446,biolib 1stfl rm 141c ahtg sp,nae 10 n2 2 vma147 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 141c,
510_0_3014426,biolib 1stfl rm 141d ahtg sp,nae 10 n2 2 vma146 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 141d,
510_0_3014466,biolib 1stfl rm 141e ahtg sp,nae 10 n2 2 vma148 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 141e,
510_0_3014486,biolib 1stfl rm 141f ahtg sp,nae 10 n2 2 vma149 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 141f,
510_0_3014546,biolib 1stfl rm 142a ahtg sp,nae 10 n2 2 vma152 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 142a,
510_0_3014566,biolib 1stfl rm 142b ahtg sp,nae 10 n2 2 vma153 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 142b,
510_0_3014606,biolib 1stfl rm 142c ahtg sp,nae 10 n2 2 vma155 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 142c,
510_0_3013368,biolib 1stfl rm 72 2n ahtg sp,nae 10 n2 1 vma131 ahtg sp,actual heating setpt,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,,vav,rm 72 2n,
