Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Schema Label,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
506_0_3001700,506,0,3001700,ebu3b rm 3140 sup flow,nae 06 n2 2 vma 101 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 3140,vav,3140,,ebu3b,,analog input
505_0_3000873,505,0,3000873,ebu3b rm b215 sup flow,nae 05 n2 1 vma 101 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm b215,vav,b215,,ebu3b,,analog input
505_1_3001086,505,1,3001086,ebu3b rm 1200b rh vlv,nae 05 n2 2 vma 101 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 1200b,vav,1200b,,ebu3b,,analog output
506_1_3001701,506,1,3001701,ebu3b rm 3140 rh vlv,nae 06 n2 2 vma 101 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 3140,vav,3140,,ebu3b,,analog output
505_1_3000874,505,1,3000874,ebu3b rm b215 rh vlv,nae 05 n2 1 vma 101 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm b215,vav,b215,,ebu3b,,analog output
505_1_3001092,505,1,3001092,ebu3b rm 1200b htgflow,nae 05 n2 2 vma 101 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 1200b,vav,1200b,,ebu3b,,analog output
506_1_3001707,506,1,3001707,ebu3b rm 3140 htgflow,nae 06 n2 2 vma 101 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 3140,vav,3140,,ebu3b,,analog output
505_1_3000880,505,1,3000880,ebu3b rm b215 htgflow,nae 05 n2 1 vma 101 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm b215,vav,b215,,ebu3b,,analog output
505_0_3001083,505,0,3001083,ebu3b rm 1200b acthtgsp,nae 05 n2 2 vma 101 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 1200b,vav,1200b,,ebu3b,,analog input
506_0_3001698,506,0,3001698,ebu3b rm 3140 acthtgsp,nae 06 n2 2 vma 101 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 3140,vav,3140,,ebu3b,,analog input
505_0_3000871,505,0,3000871,ebu3b rm b215 acthtgsp,nae 05 n2 1 vma 101 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm b215,vav,b215,,ebu3b,,analog input
505_0_3001082,505,0,3001082,ebu3b rm 1200b actclgsp,nae 05 n2 2 vma 101 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 1200b,vav,1200b,,ebu3b,,analog input
506_0_3001697,506,0,3001697,ebu3b rm 3140 actclgsp,nae 06 n2 2 vma 101 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 3140,vav,3140,,ebu3b,,analog input
505_0_3000870,505,0,3000870,ebu3b rm b215 actclgsp,nae 05 n2 1 vma 101 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm b215,vav,b215,,ebu3b,,analog input
505_1_3001091,505,1,3001091,ebu3b rm 1200b clgminflo,nae 05 n2 2 vma 101 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 1200b,vav,1200b,,ebu3b,,analog output
506_1_3001706,506,1,3001706,ebu3b rm 3140 clgminflo,nae 06 n2 2 vma 101 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 3140,vav,3140,,ebu3b,,analog output
505_1_3000879,505,1,3000879,ebu3b rm b215 clgminflo,nae 05 n2 1 vma 101 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm b215,vav,b215,,ebu3b,,analog output
505_14_3001098,505,14,3001098,ebu3b rm 1200b occ cmd,nae 05 n2 2 vma 101 occ cmd,occupied command,,occupancy command,occupied command,,rm 1200b,vav,1200b,,ebu3b,,multi state output
506_14_3001713,506,14,3001713,ebu3b rm 3140 occ cmd,nae 06 n2 2 vma 101 occ cmd,occupied command,,occupancy command,occupied command,,rm 3140,vav,3140,,ebu3b,,multi state output
505_14_3000885,505,14,3000885,ebu3b rm b215 occ cmd,nae 05 n2 1 vma 101 occ cmd,occupied command,,occupancy command,occupied command,,rm b215,vav,b215,,ebu3b,,multi state output
505_1_3001094,505,1,3001094,ebu3b rm 1200b htgpid o,nae 05 n2 2 vma 101 htgpid o,heating command,98.0,heating command,heating command,,rm 1200b,vav,1200b,,ebu3b,,analog output
506_1_3001709,506,1,3001709,ebu3b rm 3140 htgpid o,nae 06 n2 2 vma 101 htgpid o,heating command,98.0,heating command,heating command,,rm 3140,vav,3140,,ebu3b,,analog output
505_1_3000882,505,1,3000882,ebu3b rm b215 htgpid o,nae 05 n2 1 vma 101 htgpid o,heating command,98.0,heating command,heating command,,rm b215,vav,b215,,ebu3b,,analog output
505_4_3001095,505,4,3001095,ebu3b rm 1200b fan c,nae 05 n2 2 vma 101 fan c,fan command,,fan command,fan command,,rm 1200b,vav,1200b,,ebu3b,,binary output
506_4_3001710,506,4,3001710,ebu3b rm 3140 fan c,nae 06 n2 2 vma 101 fan c,fan command,,fan command,fan command,,rm 3140,vav,3140,,ebu3b,,binary output
505_0_3001084,505,0,3001084,ebu3b rm 1200b dmpr pos,nae 05 n2 2 vma 101 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 1200b,vav,1200b,,ebu3b,,analog input
506_0_3001699,506,0,3001699,ebu3b rm 3140 dmpr pos,nae 06 n2 2 vma 101 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 3140,vav,3140,,ebu3b,,analog input
505_0_3000872,505,0,3000872,ebu3b rm b215 dmpr pos,nae 05 n2 1 vma 101 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm b215,vav,b215,,ebu3b,,analog input
505_1_3001088,505,1,3001088,ebu3b rm 1200b dpr c,nae 05 n2 2 vma 101 dpr c,damper command,98.0,damper command,damper command,,rm 1200b,vav,1200b,,ebu3b,,analog output
506_1_3001703,506,1,3001703,ebu3b rm 3140 dpr c,nae 06 n2 2 vma 101 dpr c,damper command,98.0,damper command,damper command,,rm 3140,vav,3140,,ebu3b,,analog output
505_1_3000876,505,1,3000876,ebu3b rm b215 dpr c,nae 05 n2 1 vma 101 dpr c,damper command,98.0,damper command,damper command,,rm b215,vav,b215,,ebu3b,,analog output
505_1_3001090,505,1,3001090,ebu3b rm 1200b clgmaxflo,nae 05 n2 2 vma 101 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 1200b,vav,1200b,,ebu3b,,analog output
506_1_3001705,506,1,3001705,ebu3b rm 3140 clgmaxflo,nae 06 n2 2 vma 101 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 3140,vav,3140,,ebu3b,,analog output
505_1_3000878,505,1,3000878,ebu3b rm b215 clgmaxflo,nae 05 n2 1 vma 101 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm b215,vav,b215,,ebu3b,,analog output
505_1_3001093,505,1,3001093,ebu3b rm 1200b clgpid o,nae 05 n2 2 vma 101 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 1200b,vav,1200b,,ebu3b,,analog output
506_1_3001708,506,1,3001708,ebu3b rm 3140 clgpid o,nae 06 n2 2 vma 101 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 3140,vav,3140,,ebu3b,,analog output
505_1_3000881,505,1,3000881,ebu3b rm b215 clgpid o,nae 05 n2 1 vma 101 clgpid o,cooling command,98.0,cooling command,cooling command,,rm b215,vav,b215,,ebu3b,,analog output
505_0_3001100,505,0,3001100,ebu3b rm 1130 zn t,nae 05 n2 2 vma 102 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 1130,vav,1130,,ebu3b,,analog input
506_0_3000023,506,0,3000023,ebu3b rm 2140 zn t,nae 06 n2 1 vma102 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 2140,vav,2140,,ebu3b,,analog input
506_0_3001715,506,0,3001715,ebu3b rm 3119 zn t,nae 06 n2 2 vma102 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 3119,vav,3119,,ebu3b,,analog input
505_0_3000887,505,0,3000887,ebu3b rm b109 zn t,nae 05 n2 1 vma 102 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm b109,vav,b109,,ebu3b,,analog input
505_1_3001108,505,1,3001108,ebu3b rm 1130 commonsp,nae 05 n2 2 vma 102 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 1130,vav,1130,,ebu3b,,analog output
506_1_3000031,506,1,3000031,ebu3b rm 2140 commonsp,nae 06 n2 1 vma102 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 2140,vav,2140,,ebu3b,,analog output
506_1_3001723,506,1,3001723,ebu3b rm 3119 commonsp,nae 06 n2 2 vma102 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 3119,vav,3119,,ebu3b,,analog output
505_1_3000895,505,1,3000895,ebu3b rm b109 commonsp,nae 05 n2 1 vma 102 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm b109,vav,b109,,ebu3b,,analog output
505_1_3026057,505,1,3026057,ebu3b rm 1130 w c adj,nae 05 n2 2 vma 102 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 1130,vav,1130,,ebu3b,,analog output
506_1_3015686,506,1,3015686,ebu3b rm 2140 w c adj,nae 06 n2 1 vma102 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 2140,vav,2140,,ebu3b,,analog output
506_1_3015716,506,1,3015716,ebu3b rm 3119 w c adj,nae 06 n2 2 vma102 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 3119,vav,3119,,ebu3b,,analog output
505_1_3025993,505,1,3025993,ebu3b rm b109 w c adj,nae 05 n2 1 vma 102 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm b109,vav,b109,,ebu3b,,analog output
505_1_3001110,505,1,3001110,ebu3b rm 1130 supflo sp,nae 05 n2 2 vma 102 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 1130,vav,1130,,ebu3b,,analog output
506_1_3000033,506,1,3000033,ebu3b rm 2140 supflo sp,nae 06 n2 1 vma102 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 2140,vav,2140,,ebu3b,,analog output
506_1_3001725,506,1,3001725,ebu3b rm 3119 supflo sp,nae 06 n2 2 vma102 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 3119,vav,3119,,ebu3b,,analog output
505_1_3000897,505,1,3000897,ebu3b rm b109 supflo sp,nae 05 n2 1 vma 102 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm b109,vav,b109,,ebu3b,,analog output
505_0_3001106,505,0,3001106,ebu3b rm 1130 sup flow,nae 05 n2 2 vma 102 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 1130,vav,1130,,ebu3b,,analog input
506_0_3000029,506,0,3000029,ebu3b rm 2140 sup flow,nae 06 n2 1 vma102 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 2140,vav,2140,,ebu3b,,analog input
506_0_3001721,506,0,3001721,ebu3b rm 3119 sup flow,nae 06 n2 2 vma102 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 3119,vav,3119,,ebu3b,,analog input
505_0_3000893,505,0,3000893,ebu3b rm b109 sup flow,nae 05 n2 1 vma 102 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm b109,vav,b109,,ebu3b,,analog input
505_1_3001107,505,1,3001107,ebu3b rm 1130 rh vlv,nae 05 n2 2 vma 102 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 1130,vav,1130,,ebu3b,,analog output
506_1_3000030,506,1,3000030,ebu3b rm 2140 rh vlv,nae 06 n2 1 vma102 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 2140,vav,2140,,ebu3b,,analog output
506_1_3001722,506,1,3001722,ebu3b rm 3119 rh vlv,nae 06 n2 2 vma102 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 3119,vav,3119,,ebu3b,,analog output
505_1_3000894,505,1,3000894,ebu3b rm b109 rh vlv,nae 05 n2 1 vma 102 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm b109,vav,b109,,ebu3b,,analog output
505_1_3001113,505,1,3001113,ebu3b rm 1130 htgflow,nae 05 n2 2 vma 102 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 1130,vav,1130,,ebu3b,,analog output
506_1_3000036,506,1,3000036,ebu3b rm 2140 htgflow,nae 06 n2 1 vma102 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 2140,vav,2140,,ebu3b,,analog output
506_1_3001728,506,1,3001728,ebu3b rm 3119 htgflow,nae 06 n2 2 vma102 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 3119,vav,3119,,ebu3b,,analog output
505_1_3000900,505,1,3000900,ebu3b rm b109 htgflow,nae 05 n2 1 vma 102 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm b109,vav,b109,,ebu3b,,analog output
505_0_3001104,505,0,3001104,ebu3b rm 1130 acthtgsp,nae 05 n2 2 vma 102 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 1130,vav,1130,,ebu3b,,analog input
506_0_3000027,506,0,3000027,ebu3b rm 2140 acthtgsp,nae 06 n2 1 vma102 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 2140,vav,2140,,ebu3b,,analog input
506_0_3001719,506,0,3001719,ebu3b rm 3119 acthtgsp,nae 06 n2 2 vma102 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 3119,vav,3119,,ebu3b,,analog input
505_0_3000891,505,0,3000891,ebu3b rm b109 acthtgsp,nae 05 n2 1 vma 102 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm b109,vav,b109,,ebu3b,,analog input
505_0_3001103,505,0,3001103,ebu3b rm 1130 actclgsp,nae 05 n2 2 vma 102 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 1130,vav,1130,,ebu3b,,analog input
506_0_3000026,506,0,3000026,ebu3b rm 2140 actclgsp,nae 06 n2 1 vma102 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 2140,vav,2140,,ebu3b,,analog input
506_0_3001718,506,0,3001718,ebu3b rm 3119 actclgsp,nae 06 n2 2 vma102 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 3119,vav,3119,,ebu3b,,analog input
505_0_3000890,505,0,3000890,ebu3b rm b109 actclgsp,nae 05 n2 1 vma 102 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm b109,vav,b109,,ebu3b,,analog input
505_1_3001112,505,1,3001112,ebu3b rm 1130 clgminflo,nae 05 n2 2 vma 102 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 1130,vav,1130,,ebu3b,,analog output
506_1_3000035,506,1,3000035,ebu3b rm 2140 clgminflo,nae 06 n2 1 vma102 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 2140,vav,2140,,ebu3b,,analog output
506_1_3001727,506,1,3001727,ebu3b rm 3119 clgminflo,nae 06 n2 2 vma102 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 3119,vav,3119,,ebu3b,,analog output
505_1_3000899,505,1,3000899,ebu3b rm b109 clgminflo,nae 05 n2 1 vma 102 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm b109,vav,b109,,ebu3b,,analog output
505_14_3001119,505,14,3001119,ebu3b rm 1130 occ cmd,nae 05 n2 2 vma 102 occ cmd,occupied command,,occupancy command,occupied command,,rm 1130,vav,1130,,ebu3b,,multi state output
506_14_3000042,506,14,3000042,ebu3b rm 2140 occ cmd,nae 06 n2 1 vma102 occ cmd,occupied command,,occupancy command,occupied command,,rm 2140,vav,2140,,ebu3b,,multi state output
506_14_3001734,506,14,3001734,ebu3b rm 3119 occ cmd,nae 06 n2 2 vma102 occ cmd,occupied command,,occupancy command,occupied command,,rm 3119,vav,3119,,ebu3b,,multi state output
505_14_3000905,505,14,3000905,ebu3b rm b109 occ cmd,nae 05 n2 1 vma 102 occ cmd,occupied command,,occupancy command,occupied command,,rm b109,vav,b109,,ebu3b,,multi state output
505_1_3001115,505,1,3001115,ebu3b rm 1130 htgpid o,nae 05 n2 2 vma 102 htgpid o,heating command,98.0,heating command,heating command,,rm 1130,vav,1130,,ebu3b,,analog output
506_1_3000038,506,1,3000038,ebu3b rm 2140 htgpid o,nae 06 n2 1 vma102 htgpid o,heating command,98.0,heating command,heating command,,rm 2140,vav,2140,,ebu3b,,analog output
506_1_3001730,506,1,3001730,ebu3b rm 3119 htgpid o,nae 06 n2 2 vma102 htgpid o,heating command,98.0,heating command,heating command,,rm 3119,vav,3119,,ebu3b,,analog output
505_1_3000902,505,1,3000902,ebu3b rm b109 htgpid o,nae 05 n2 1 vma 102 htgpid o,heating command,98.0,heating command,heating command,,rm b109,vav,b109,,ebu3b,,analog output
505_4_3001116,505,4,3001116,ebu3b rm 1130 fan c,nae 05 n2 2 vma 102 fan c,fan command,,fan command,fan command,,rm 1130,vav,1130,,ebu3b,,binary output
506_4_3000039,506,4,3000039,ebu3b rm 2140 fan c,nae 06 n2 1 vma102 fan c,fan command,,fan command,fan command,,rm 2140,vav,2140,,ebu3b,,binary output
506_4_3001731,506,4,3001731,ebu3b rm 3119 fan c,nae 06 n2 2 vma102 fan c,fan command,,fan command,fan command,,rm 3119,vav,3119,,ebu3b,,binary output
505_0_3001105,505,0,3001105,ebu3b rm 1130 dmpr pos,nae 05 n2 2 vma 102 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 1130,vav,1130,,ebu3b,,analog input
506_0_3000028,506,0,3000028,ebu3b rm 2140 dmpr pos,nae 06 n2 1 vma102 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 2140,vav,2140,,ebu3b,,analog input
506_0_3001720,506,0,3001720,ebu3b rm 3119 dmpr pos,nae 06 n2 2 vma102 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 3119,vav,3119,,ebu3b,,analog input
505_0_3000892,505,0,3000892,ebu3b rm b109 dmpr pos,nae 05 n2 1 vma 102 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm b109,vav,b109,,ebu3b,,analog input
505_1_3001109,505,1,3001109,ebu3b rm 1130 dpr c,nae 05 n2 2 vma 102 dpr c,damper command,98.0,damper command,damper command,,rm 1130,vav,1130,,ebu3b,,analog output
506_1_3000032,506,1,3000032,ebu3b rm 2140 dpr c,nae 06 n2 1 vma102 dpr c,damper command,98.0,damper command,damper command,,rm 2140,vav,2140,,ebu3b,,analog output
506_1_3001724,506,1,3001724,ebu3b rm 3119 dpr c,nae 06 n2 2 vma102 dpr c,damper command,98.0,damper command,damper command,,rm 3119,vav,3119,,ebu3b,,analog output
505_1_3000896,505,1,3000896,ebu3b rm b109 dpr c,nae 05 n2 1 vma 102 dpr c,damper command,98.0,damper command,damper command,,rm b109,vav,b109,,ebu3b,,analog output
505_1_3001111,505,1,3001111,ebu3b rm 1130 clgmaxflo,nae 05 n2 2 vma 102 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 1130,vav,1130,,ebu3b,,analog output
506_1_3000034,506,1,3000034,ebu3b rm 2140 clgmaxflo,nae 06 n2 1 vma102 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 2140,vav,2140,,ebu3b,,analog output
506_1_3001726,506,1,3001726,ebu3b rm 3119 clgmaxflo,nae 06 n2 2 vma102 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 3119,vav,3119,,ebu3b,,analog output
505_1_3000898,505,1,3000898,ebu3b rm b109 clgmaxflo,nae 05 n2 1 vma 102 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm b109,vav,b109,,ebu3b,,analog output
505_1_3001114,505,1,3001114,ebu3b rm 1130 clgpid o,nae 05 n2 2 vma 102 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 1130,vav,1130,,ebu3b,,analog output
506_1_3000037,506,1,3000037,ebu3b rm 2140 clgpid o,nae 06 n2 1 vma102 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 2140,vav,2140,,ebu3b,,analog output
506_1_3001729,506,1,3001729,ebu3b rm 3119 clgpid o,nae 06 n2 2 vma102 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 3119,vav,3119,,ebu3b,,analog output
505_1_3000901,505,1,3000901,ebu3b rm b109 clgpid o,nae 05 n2 1 vma 102 clgpid o,cooling command,98.0,cooling command,cooling command,,rm b109,vav,b109,,ebu3b,,analog output
505_0_3001624,505,0,3001624,ebu3b rm 1100a zn t,nae 05 n2 2 vma 103 zn t,zone temperature 1st flr lobby,64.0,zone temperature,zone temperature sensor,,rm 1100a,vav,1100a,,ebu3b,,analog input
506_0_3001213,506,0,3001213,ebu3b rm 2119 zn t,nae 06 n2 1 vma103 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 2119,vav,2119,,ebu3b,,analog input
506_0_3002894,506,0,3002894,ebu3b rm 3154 zn t,nae 06 n2 2 vma103 zn t,zone temperature lounge game room,64.0,zone temperature,zone temperature sensor,,rm 3154,vav,3154,,ebu3b,,analog input
505_0_3000907,505,0,3000907,ebu3b rm b225 zn t,nae 05 n2 1 vma 103 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm b225,vav,b225,,ebu3b,,analog input
506_3_3002910,506,3,3002910,ebu3b rm 3154 t occ,nae 06 n2 2 vma103 t occ,temp occ sts,,temporary occupancy status,temporary occupancy status,,rm 3154,vav,3154,,ebu3b,,binary input
505_1_3001632,505,1,3001632,ebu3b rm 1100a commonsp,nae 05 n2 2 vma 103 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 1100a,vav,1100a,,ebu3b,,analog output
506_1_3001221,506,1,3001221,ebu3b rm 2119 commonsp,nae 06 n2 1 vma103 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 2119,vav,2119,,ebu3b,,analog output
506_1_3002902,506,1,3002902,ebu3b rm 3154 commonsp,nae 06 n2 2 vma103 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 3154,vav,3154,,ebu3b,,analog output
505_1_3000915,505,1,3000915,ebu3b rm b225 commonsp,nae 05 n2 1 vma 103 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm b225,vav,b225,,ebu3b,,analog output
505_1_3026027,505,1,3026027,ebu3b rm 1100a w c adj,nae 05 n2 2 vma 103 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 1100a,vav,1100a,,ebu3b,,analog output
506_1_3015633,506,1,3015633,ebu3b rm 2119 w c adj,nae 06 n2 1 vma103 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 2119,vav,2119,,ebu3b,,analog output
506_1_3015721,506,1,3015721,ebu3b rm 3154 w c adj,nae 06 n2 2 vma103 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 3154,vav,3154,,ebu3b,,analog output
